method,num_episodes,accuracy,exact_match,mcq_accuracy,repair_coverage,repair_success_rate,num_changed_repairs,average_trajectory_length,average_input_tokens,average_output_tokens,retrieval_hit_usefulness_proxy,graph_num_nodes,graph_num_edges,training_data_size_by_role::single_agent,dataset_accuracy::commonsense_qa,dataset_count::commonsense_qa,dataset_accuracy::ai2_arc,dataset_count::ai2_arc,dataset_accuracy::boolq,dataset_count::boolq,dataset_accuracy::pubmed_qa,dataset_count::pubmed_qa,category_accuracy::commonsense,category_accuracy::science_mcq,category_accuracy::reading_comprehension_yesno,category_accuracy::biomedical_qa,training_data_size_by_role::planner,training_data_size_by_role::solver,training_data_size_by_role::verifier,training_data_size_by_role::summarizer
single_agent,400,0.4525,0.105,0.4525,0.0,0.0,0,1.0,185.5525,87.315,0.0,0,0,400,0.57,100,0.34,100,0.45,100,0.45,100,0.57,0.34,0.45,0.45,,,,
static_multi_agent,400,0.6925,0.325,0.6925,0.0,0.0,0,4.0,1753.3425,248.675,0.0,0,0,,0.75,100,0.69,100,0.64,100,0.69,100,0.75,0.69,0.64,0.69,400,400,400,400
sirius_lite,400,0.7875,0.365,0.7875,0.0,0.0,0,4.0,1999.6925,250.8575,0.0,0,0,,0.84,100,0.77,100,0.79,100,0.75,100,0.84,0.77,0.79,0.75,400,400,400,400
ours_wo_graph,400,0.6975,0.3325,0.6975,0.0525,0.2381,21,4.0,1754.56,249.115,0.0,0,0,,0.76,100,0.69,100,0.65,100,0.69,100,0.76,0.69,0.65,0.69,400,400,400,400
ours_wo_selective_repair,400,0.64,0.3175,0.64,0.0,0.0,0,4.0,2399.8075,254.835,0.64,1247,45689,,0.66,100,0.66,100,0.59,100,0.65,100,0.66,0.66,0.59,0.65,400,400,400,400
trajectory_level_credit,400,0.695,0.3325,0.695,0.0,0.0,0,4.0,1754.5525,249.2375,0.0,0,0,,0.76,100,0.69,100,0.65,100,0.68,100,0.76,0.69,0.65,0.68,400,400,400,400
repair_only,400,0.6975,0.3325,0.6975,0.0525,0.2381,21,4.0,1754.56,249.115,0.0,0,0,,0.76,100,0.69,100,0.65,100,0.69,100,0.76,0.69,0.65,0.69,400,400,400,400
offline_sft_only,400,0.695,0.3325,0.695,0.0,0.0,0,4.0,1754.5525,249.2375,0.0,0,0,,0.76,100,0.69,100,0.65,100,0.68,100,0.76,0.69,0.65,0.68,400,400,400,400
ours_full,400,0.6375,0.3175,0.6375,0.0,0.0,0,4.0,2398.2475,254.47,0.6375,1261,45394,,0.66,100,0.66,100,0.59,100,0.64,100,0.66,0.66,0.59,0.64,400,400,400,400
